Name,Description,Image URL
"Amaranth, Midnight Red (Amaranthus tricolor 'Midnight Red') - 250 Seeds","Amaranth, Midnight Red (Amaranthus tricolor) - 250 Seeds

• Heirloom
• Non-GMO
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Amaranth 'Midnight Red' is a stunning heirloom variety known for its dramatic, deep maroon foliage that adds a touch of gothic elegance to any garden. Growing to a height of 2-3 feet, its unique color and texture create a striking contrast with other plants, making it a captivating addition to borders, containers, or mass plantings. Not only is it beautiful, but it's also edible - the young leaves can be enjoyed in salads or cooked like spinach, and the seeds are a nutritious, gluten-free grain.

GROWING INSTRUCTIONS:
Direct sow seeds outdoors after the danger of frost has passed. Sprinkle seeds on the soil surface and lightly rake them in. Amaranth prefers full sun and well-draining soil. Thin seedlings to 12-18 inches apart once they have a few sets of true leaves. Keep soil consistently moist, especially during dry spells. For leafy greens, harvest young leaves regularly. For grain harvest, allow flower heads to mature and dry on the plant before collecting seeds.",//southernseeds.com/cdn/shop/files/shopify_-_2024-08-01T171250.069_180x.png?v=1722551106 180w
"Amaranth, Red Garnet (Amaranthus tricolor) - 250 Seeds","Amaranth, Red Garnet (Joseph's Coat) - 250 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: All Zones

Amaranth 'Red Garnet,' also known as Joseph's Coat, is a stunning heirloom variety cherished for its vibrant red foliage and unique, tassel-like flower heads. This versatile plant not only adds a dramatic flair to your garden but also offers a delicious and nutritious harvest. The tender young leaves can be enjoyed in salads or cooked like spinach, while the abundant seeds are a gluten-free grain that can be ground into flour or cooked like quinoa.

GROWING INSTRUCTIONS:
Direct sow seeds outdoors after the danger of frost has passed. Sprinkle seeds on the soil surface and lightly rake them in. Amaranth prefers full sun and well-draining soil. Thin seedlings to 12-18 inches apart once they have a few sets of true leaves. Keep soil consistently moist, especially during dry spells. For leafy greens, harvest young leaves regularly. For grain harvest, allow flower heads to mature and dry on the plant before collecting seeds.",//southernseeds.com/cdn/shop/products/amaranth-red-garnet-amranthus-tricolor-250-seeds-220858_180x.jpg?v=1663209954 180w
"Amaranth, Yellow (Amranthus tricolor) - 100 Seeds","Yellow Amaranth (Amranthus tricolor) - 100 Seeds

•Heirloom
•Non-GMO
•American grown seeds
•Perennial
•USDA Zones: 2-11

Also known as Joseph's Coat or Chinese Spanish, brilliant yellow blooms top large plants that can reach up to 2 feet tall. Beyond its aesthetic qualities, young leaves can be used for greens, and flower heads fill with seeds that can be toasted and eaten as grains. The seed-filled flower heads make a great source of food for goldfinches and other birds flying by. In foods, amaranth is used as a cereal grain and makes a wonderfully nutritious micro-green as well! People use the entire plant to make medicine. Yellow Amaranthus looks spectacular in mass planting or as a border plant. Its striking foliage makes this Amaranthus a perfect ornamental plant for summer plantings in full sunlight. Amaranthus Tricolor performs best in full sun and adapts to virtually any type of soil.

GROWING INSTRUCTIONS:
Amaranth germinates when the soil temperature is at least 70°, so gardeners in cool climates will want to start their seeds indoors 4-6 weeks before transplanting. Direct sow seeds after the last spring frost. Sow thinly at 1/4"" deep in rows 16-18"" apart. Thin to the strongest seedling per 10-12"" apart. Some gardeners choose a closer spacing if only growing to harvest the greens. Prefers full sun and well drained soil. Once established, will tolerate drought, but the greens will be more tender if the soil is kept moist.",//southernseeds.com/cdn/shop/products/amaranth-yellow-amranthus-tricolor-100-seeds-963260_180x.jpg?v=1663209954 180w
"Angelica, Holy Ghost (Angelica archangelica) - 50 Seeds","Angelica, Holy Ghost (Angelica archangelica) - 50 Seeds

• Heirloom
• Non-GMO
• American Grown Seeds
• Biennial
• USDA Zone: 4-9

Say hello to the Holy Ghost Angelica (Angelica archangelica). This isn't your average garden dweller. With its soaring green-white blooms and robust, green leaves, it's a sight to behold. But Angelica doesn't stop at turning heads. It's wonderfully practical, too. Imagine this: you're making a cup of tea. You step into your garden. A quick snip here, a quick snip there, and you've got fresh Angelica stems for your brew. Or perhaps you're baking. A sprinkle of Angelica can take your recipe to new heights. In the world of gardens, Angelica is a real game-changer. It's about time it found a spot in yours.

GROWING INSTRUCTIONS:
To break its dormancy, this seed necessitates a specific treatment involving alternating periods of cold and warm moisture. Begin by mixing the seed with moist sand and refrigerating it for 60 days. Then, transfer it to a location with temperatures of 70-75 °F for 30-60 days, followed by another 30-60 day period in the refrigerator. Alternatively, you can plant the seed in late fall and patiently wait until the second spring for germination. When starting indoors, sow Angelica seeds just below the soil surface as they require light for germination. Keep in mind that germination may be slow, and it's best to transplant small seedlings as larger plants have lower transplant success rates.",//southernseeds.com/cdn/shop/products/angelica-holy-ghost-angelica-archangelica-30-seeds-176360_180x.jpg?v=1663209965 180w
Anise (Pimpinella anisum) - 100 Seeds,"Anise (Pimpinella anisum) - 100 Seeds

• Heirloom
• Non-GMO
• American Grown Seeds
• Annual
• USDA Zone: 4-9

Ever dreamed of bringing that sweet licorice-like flavor right into your garden? Anise (Pimpinella anisum) makes that dream a reality. Loved for its highly aromatic seeds, Anise is a must-have for any herb garden. Its seeds, leaves, and flowers are all edible, bringing a delightful sweetness to cakes, cookies, and savory dishes alike. But it's not all about flavor. Anise also boasts delicate, feathery leaves and clusters of tiny white flowers, making it a pretty addition to your outdoor space. An aromatic delight for both your garden and your kitchen!

GROWING INSTRUCTIONS:
Plant Anise seeds in a location with full sun. Sow the seeds 1/4 inch deep and space the plants 12-18 inches apart, allowing for ample growth as they mature. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Anise prefers well-draining soil with a pH between 6.0 and 6.7.",//southernseeds.com/cdn/shop/products/anise-pimpinella-anisum-100-seeds-796629_180x.jpg?v=1663209964 180w
"Arnica, Meadow (Arnica chamissonis) - 20 Seeds","Arnica, Meadow (Arnica chamissonis) - 20 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Perennial
• USDA Zone: 3-8

Meadow Arnica, a vibrant wildflower native to North America, is prized for its cheerful yellow daisy-like blooms and traditional medicinal uses. This hardy perennial thrives in sunny meadows and alpine regions, adding a burst of color to your landscape while attracting beneficial pollinators.

GROWING INSTRUCTIONS:
To stratify Arnica, Meadow seeds, place them in a moist paper towel and store them in a plastic bag in the refrigerator for 30-60 days. This process helps to break the seed's dormancy and promotes germination.

For best results, start Arnica, Meadow seeds indoors 4-6 weeks before the last frost date or sow directly in the garden after the last frost date. Plant the seeds in well-drained soil in a location that receives full sun to partial shade. Sow the seeds at a depth of 1/4 inch and space the plants 12-18 inches apart. Optimal germination temperature is 70-75°F. Before planting, stratify the seeds by placing them in a moist paper towel and storing them in a plastic bag in the refrigerator for 30-60 days. Arnica, Meadow is a hardy plant that is relatively low maintenance and will thrive with proper care. Regular watering is important during dry spells, and the plants will benefit from a light application of compost or fertilizer in early spring.

Arnica, Meadow is ready to be harvested once the flowers have fully formed. Simply cut the stems, hang them upside down, and allow the flowers to dry completely. Store the dried flowers in an airtight container in a cool, dark place, and they'll be ready to use whenever you need them.",//southernseeds.com/cdn/shop/products/arnica-meadow-arnica-chamissonis-20-seeds-780362_180x.jpg?v=1663209954 180w
"Arnica, Mountain (Arnica montana) - 20 Seeds","Arnica, Mountain (Arnica montana) - 20 Seeds

• Heirloom
• Open Pollinated
• American Grown Seeds
• Perennial
• USDA Zone: 4-9

Mountain Arnica, a vibrant wildflower native to European mountains, is treasured for its cheerful yellow daisy-like blooms and traditional medicinal uses. This hardy perennial thrives in sunny meadows and alpine regions, adding a burst of color to your landscape while attracting beneficial pollinators.

GROWING INSTRUCTIONS:
For best results, start Arnica, Mountain seeds indoors 4-6 weeks before the last frost date or sow directly in the garden after the last frost date. Plant the seeds in well-drained soil in a location that receives full sun to partial shade. Sow the seeds at a depth of 1/4 inch and space the plants 12-18 inches apart. Optimal germination temperature is 70-75°F. Before planting, stratify the seeds by placing them in a moist paper towel and storing them in a plastic bag in the refrigerator for 30-60 days. Arnica, Mountain is a hardy plant that is relatively low maintenance and will thrive with proper care. Regular watering is important during dry spells, and the plants will benefit from a light application of compost or fertilizer in early spring.

Stratification Directions: To stratify Arnica, Mountain seeds, place them in a moist paper towel and store them in a plastic bag in the refrigerator for 30-60 days. This process helps to break the seed's dormancy and promotes germination.",//southernseeds.com/cdn/shop/products/arnica-mountain-tobacco-arnica-montana-20-seeds-424003_180x.jpg?v=1663209966 180w
Arugula (Eruca sativa) - 200 Seeds,"Arugula (Eruca sativa) - 200 Seeds

• Heirloom Herb
• Open Pollinated
• Non-GMO
• American Grown Seeds
• Annual
• USDA Zone: 3-11

Ready to add a spicy kick to your garden—and your salad bowl? Arugula (Eruca sativa) is the answer. This quick-growing, easy-to-tend heirloom herb brings a peppery, mustard-like flavor that elevates salads, pasta dishes, and sandwiches. But it doesn't stop at the plate. In the garden, its pretty, deeply-lobed leaves and small, white flowers make it an attractive addition. Spice up your garden and your meals with this delightful herb.

GROWING INSTRUCTIONS:
Plant Arugula seeds in a location with full sun to partial shade. Sow the seeds 1/4 inch deep and space the plants 6-12 inches apart, allowing for ample growth as they mature. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Arugula prefers well-draining soil with a pH between 6.0 and 6.8.

 ",//southernseeds.com/cdn/shop/products/arugula-eruca-sativa-200-seeds-955639_180x.jpg?v=1663209943 180w
"Arugula, Roquette (Eruca vesicaria sativa) - 200 Seeds","Arugula, Roquette (Rocket) (Eruca vesicaria sativa) - 200 Seeds

• Heirloom Herb
• Open Pollinated
• Non-GMO
• American Grown Seeds
• Annual
• USDA Zone: 3-11

Craving a zesty, peppery bite in your salads? Meet Arugula, Roquette (Rocket). This heirloom herb's fast-growing, dark green leaves pack a flavorful punch in salads, sandwiches, and even pestos. But that's not all. It's a real looker too, with its deeply lobed leaves and delicate white flowers. And the best part? It's super easy to grow. Perfect for beginner gardeners or anyone looking to spice up their garden—and their meals!

GROWING INSTRUCTIONS:
Plant Roquette Arugula seeds in a location with full sun to partial shade. Sow the seeds 1/4 inch deep and space the plants 6-12 inches apart, allowing for ample growth as they mature. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Roquette Arugula prefers well-draining soil with a pH between 6.0 and 6.8.",//southernseeds.com/cdn/shop/products/arugula-roquette-eruca-vesicaria-sativa-200-seeds-582964_180x.jpg?v=1663209964 180w
Ashwagandha - Indian Ginseng (Withania somnifera) - 30 Seeds,"Ashwagandha (Withania somnifera) - 30 Seeds

• Heirloom Medicinal Herb
• Non-GMO
• American Grown Seeds
• Perennial
• USDA Zone: 8-11

Step aside, stress and anxiety—Ashwagandha, also known as Indian Ginseng (Withania somnifera), is here. This ancient medicinal herb is renowned for its adaptogenic qualities, helping your body manage stress better. But that's not all. With its bright green leaves, small, bell-shaped flowers, and red berries, it's also an attractive addition to any garden. Cultivate your very own stress-buster and add a touch of tranquility to your garden with Ashwagandha.

GROWING INSTRUCTIONS:
Plant Ashwagandha seeds in a location with full sun to light shade. Sow the seeds 1/4 inch deep and space the plants 18-24 inches apart. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Ashwagandha prefers well-draining soil with a pH between 6.0 and 7.5.",//southernseeds.com/cdn/shop/products/ashwagandha-indian-ginseng-withania-somnifera-30-seeds-429972_180x.jpg?v=1663209954 180w
