Name,Description,Image URL
English Thyme,"This woody little evergreen plant spreads steadily over the years and has pretty pink flowers which bees love. English Thyme seeds plants grows to heights of 30cm (12""). Read More",//www.westcoastseeds.com/cdn/shop/products/HR1145-1_515x640_crop_center.jpg?v=1610654905
Ghost Chili,"At over one million Scoville Heat Units, the Ghost Chili is one of the world's hottest peppers. This pepper is so hot, in fact, that it should be treated with caution. We encourage very careful handling of the seeds and fruits. Read More",//www.westcoastseeds.com/cdn/shop/products/PP673-Ghost-Chili-Seeds_515x640_crop_center.jpg?v=1610656955
Centennial Broccoli,"Small beads on large, smooth heads with very tightly packed beads and very few side shoots. This remarkably versatile broccoli can be grown year round in cool coastal regions. Read More",//www.westcoastseeds.com/cdn/shop/products/BR186_Centennial-Broccoli_1_515x640_crop_center.jpg?v=1610586469
Showy Milkweed,"Native to western and central North America (including BC's Okanagan region), Showy Milkweed is the plant at the center of Monarch butterfly conservation efforts. This is the particular species of milkweed that the Monarch caterpillars feed on after hatching, so it is highly prized by egg-laying adults. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3852-Showy-Milkweed_515x640_crop_center.jpg?v=1610579546
Sunrich Lime,"The flowers are very round with dense numbers of petals, but the flowers produce no pollen, so they won't make a mess when they're cut and brought indoors. They make really excellent, long-lasting cut flowers, with blooms 10-15cm (4-6"") across. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3858-Sunrich-Lime_515x640_crop_center.jpg?v=1610585408
Jackpot,"When Jackpot zucchini starts producing, you'll think you hit the jackpot! Bushy plants have few spines, very high yield, and continuous production. Read More",//www.westcoastseeds.com/cdn/shop/products/Jackpot-Zucchini-Seeds-SQ759-1_515x640_crop_center.jpg?v=1610655641
Neon,"These beautifully shaped, bright orange pumpkins have strong, dark green handles and make perfect Jack-O-Lanterns. Read More",//www.westcoastseeds.com/cdn/shop/products/PU670-1_515x640_crop_center.jpg?v=1610578594
Midnight Blue,"Vivid navy blue flowers adorn this tiny, trailing Lobelia, making it ideal for stuffing between other plants as a ground cover. The flowers are highly attractive to bees and butterflies. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2033-2_515x640_crop_center.jpg?v=1610657100
Hilda Romano,"Hilda Romano pole bean has flat pods, no strings, and great flavour. This bean is one of the first to produce in the summer and keeps going until frost if kept picked. Read More",//www.westcoastseeds.com/cdn/shop/products/BN172-Hilda-Romano-Pole-Bean-Seeds_515x640_crop_center.jpg?v=1610655312
Dwarf Green Curled,"Dwarf Green Curled kale seeds is an heirloom Scottish kale dating back to 1865, originally known as Dwarf Curlies. Plants are very compact, growing to only 30-45cm (12-18"") tall, but with delicate, succulent, tightly curled leaves. Read More",//www.westcoastseeds.com/cdn/shop/products/KL423_Dwarf-Green-Curled_seeds_11_515x640_crop_center.jpg?v=1610589621
Tango Coated Organic,"Improved breeding makes Tango the celery of choice for a wide range of growing conditions. Its stringless stalks have very little fibre, but have a high water content and keep a remarkably refined taste. Read More",//www.westcoastseeds.com/cdn/shop/products/CL347_Tango-celery_1_515x640_crop_center.jpg?v=1610656252
Swiss Giants Mix,"The classic heirloom Swiss Giants Mix Pansy seeds blend has single colours with blotched faces and some bicolours, with flowers held high above the leaves. Technically a perennial, this plant is usually grown as a cold hardy annual that will bloom in mild climates from October through to May from a late summer sowing. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3026-1_515x640_crop_center.jpg?v=1610656662
Olympia,Olympia spinach seeds probably produce the best dark green plain leaf type for year round sowing and harvest. This fast growing spinach holds its leaves up off the ground and is an excellent choice for cooking and salads. Read More,//www.westcoastseeds.com/cdn/shop/products/SP703-1_515x640_crop_center.jpg?v=1610657032
Mashed Potatoes,"Slightly oblong acorn squashes grow on compact, semi-bush vines. The exterior skins are bright white, and hold their colour right into the fall. The interior flesh is also white and low in sugar. Read More",//www.westcoastseeds.com/cdn/shop/products/SQ804-Mashed-Potatoes-0X7A0686_515x640_crop_center.jpg?v=1610578844
Uchiki Red Kuri Organic,"This is a Japanese type Hubbard (red kuri), with dark, red/orange skin over tasty, cream coloured flesh. Popular in Japanese and Thai dishes, the flesh is flavourful and firm, and never stringy. Read More",//www.westcoastseeds.com/cdn/shop/products/SQ729_REDKURI1_25d92da9-6e3f-4402-84ed-4f27498f3721_515x640_crop_center.jpg?v=1678131635
Big Max,"Give Big Max pumpkin seeds a good early start indoors in May and transplant them out once the soil is warm in June. Provide deeply dug, very fertile soil, and you can expect very large Jack-o-Lantern type pumpkins up to 23kg (50 lbs) each! Read More",//www.westcoastseeds.com/cdn/shop/products/PU669-1_515x640_crop_center.jpg?v=1610651930
Tiny Tim,"Tiny Tim cherry tomato seeds are easy to grow and produce unique dwarf plants that work very well in small containers, window boxes, hanging baskets and small garden spaces. Read More",//www.westcoastseeds.com/cdn/shop/products/TM758-12_515x640_crop_center.jpg?v=1610577947
Dwarf Munstead,"This open plant is an early flowering selection with more blue in the flowers. Dwarf Munstead lavender seeds are the most aromatic of the English lavenders, giving off a sweet and delicate perfume. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1096-Dwarf-Munstead-Lavender-Seeds_515x640_crop_center.jpg?v=1610588726
Grand Rapids TBR,"Grand Rapids TBR Looseleaf lettuce seeds produce a large, upright rosette of thick, juicy, light-green, frilly leaves and a blanched center. Read More",//www.westcoastseeds.com/cdn/shop/products/LT456-1_515x640_crop_center.jpg?v=1610580126
Goldy Organic,"Uniformly cylindrical along its whole length, and intensely yellow in colour. Goldy’s fruits average 20-25cm (8-10″) long. Plant Goldy Organic zucchini seeds for relatively small plants that are open and vigorous with hardly any spines. The fruits are tender and delicious. Read More",//www.westcoastseeds.com/cdn/shop/products/SQ712_-Goldy-0X7A4099_515x640_crop_center.jpg?v=1610656851
Rugby,"Rugby is a productive roma with firm, dense flesh that is smooth and soft in texture. They have superb, well-balanced flavour and... Read More",//www.westcoastseeds.com/cdn/shop/files/TM760ARugby2_Apr2023_V_Cropped_515x640_crop_center.jpg?v=1683231451
Royal Burgundy,"Round, stringless, dark purple pods grow 15cm (6”) long and are held off the ground by strong, upright plants. This high yielding variety is well suited to cooler soils. Read More",//www.westcoastseeds.com/cdn/shop/products/BN115-Royal-Burgundy-0X7A3979_515x640_crop_center.jpg?v=1610656644
Scarlet Emperor,"The large clusters of beautiful scarlet flowers and rapid, vigorous, sprawling growth make Scarlet Emperor an ideal choice for screens, trellises, and balconies. Read More",//www.westcoastseeds.com/cdn/shop/products/BN127-1_515x640_crop_center.jpg?v=1610656332
French Lavender,"Sow French lavender seeds indoors, 6-8 weeks before last frost, or direct sow the seeds in early spring when a chance of frost is still possible. Uniform and distinctive, 'Sancho Panza' blooms from June to September on shrubby bushes that grow 35cm (14"") tall. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1093-1_515x640_crop_center.jpg?v=1610654371
