Name,Description,Image URL
*Seed Starting Soil Pods* (ORGANIC),"Pods are the easiest way to start your seeds - indoors or outdoors. 

 

Organic milled Canadian peat and lime added for pH adjustment.


Just add water to let the soil expand - then add your seeds - and watch them grow.




When you start plants inside, you raise them to a certain size and then transplant them out into your garden (see transplanting).


Starting plants inside is very rewarding.  All you need to do is add water, add your seeds, and watch them grow.


Makes seed starting so much easier!


Provides shock-free transplantation into your garden, container, or pot.

",//www.seedsnow.com/cdn/shop/products/seed_pods.png?v=1721464093&width=300
Amaranth - Red Garnet,"With its showy display of cascading red flowers, Red Garnet Amaranth is both beautiful and delicious. You can cook the leaves as you would any other green, and harvest the seeds for a healthy grain that's rich in minerals and protein.

Easy to grow.
Heat tolerant.
Drought resistant.
Can grow to 10+ feet with the right soil and growing conditions.

📚 Amaranth Grow Guide",//www.seedsnow.com/cdn/shop/files/shutterstock_130405283.jpg?v=1719769420&width=300
Angelica (Wild Celery / Holy Ghost),"Angelica (Angelica archangelica), also called Wild Celery and Holy Ghost, is a fragrant herb in the carrot family. Like a carrot, it’s a biennial that flowers the second year, and it has a long thick root. But it’s not a carrot. For starters, it tastes like licorice. And the plant can grow to 4'-6' tall. It prefers cooler weather and growing near running water, so congrats if you’re gardening along the riverbanks of Utopia. The rest of us can just grow it in dappled shade and make sure the soil doesn’t dry out.

The flowers, leaves, seeds, stems, and roots are all edible. Peel the young, hollow, purple-tinged stems and use like celery, use the leaves like spinach, or make a tea from the leaves, flowers, seeds, and roots.

As a medicinal herb, Angelica has been used to treat anxiety, bladder infections, bronchitis, colds, cough, fever, flatulence, indigestion, insomnia, heartburn, lack of appetite, poor circulation, respiratory issues, typhus, and upset stomach.

Mild licorice flavor
All parts are edible
Culinary and medicinal
Good fresh and cooked



As a companion plant, it attracts all sorts of friendly pollinators and beneficial insects.

⚠️ Medicinal properties are presented as information only, and are not a recommendation or prescription for use. Consult a medical professional before using any herb medicinally.

SEED PLANTING TIPS

 Botanical name: Angelica archangelica
Life cycle: Herbaceous biennial
Hardiness zones: 4-8
Planting season: Spring, fall
Days to maturity: 1-2 years; can begin harvesting when 6"" tall
Depth to plant seeds: Lightly cover - seeds need light to germinate
Days to germinate (sprout): 14-28 days
Germination soil temps: 60F-65F
Spacing between plants: 18""-24"" apart
Spacing between rows: 24""-36"" apart
# of plants per sq. ft.: Appx. 1 plant per 2 sq. ft.
Soil types: Clay, sandy, loamy, silty, moist, well-drained
Soil pH: 4.5-7.4
Sun needs: Full sun, part shade
Water needs: High - keep soil moist
Cold stratify: Yes
Frost tolerant: Yes
Heat tolerant: No
Drought tolerant: No
Deer resistant: No
Culinary use: Yes
Medicinal use: Yes",//www.seedsnow.com/cdn/shop/products/Screen_Shot_2015-03-12_at_8.26.21_AM_1200x_f3f6f3a6-510f-4261-9072-1a50cb3a0ed4.png?v=1681055315&width=300
Anise (Aniseed),"Anise (Pimpinella anisum), also called Aniseed, is a sweet, aromatic annual in the parsley family.

The leaves and flowers are lacy, delicate, and delicious, and plants can grow 2'-3' tall.

With a fresh licorice flavor, use as you would Tarragon and Fennel in both savory meat and vegetable dishes, salads and dressings, and sweet baked goods, such as biscotti.

Chew the seeds for a natural breath freshener and digestif. Its aromatic seeds are also used for cooking and herbal medicine.

You may be familiar with the anise flavor if you've had absinthe, as anise seeds are the basis for this famous alcoholic beverage. 

Licorice flavor
Edible seeds and leaves
Culinary and medicinal
Good for containers



As a companion plant, it attracts pollinators and beneficial insects, and repels aphids, cabbage moths, cabbage white fly, cabbage worms, slugs, and snails, but is strangely irresistible to bears, deer, dogs, and mice.

As a medicinal herb, Anise has been used internally to treat bad breath, bloating, constipation, cough, flatulence, hot flashes, indigestion, lack of appetite, migraine headaches, and upset stomach, and externally to treat bronchitis, eye pain, and swelling. 

⚠️ Medicinal properties are presented as information only, and are not a recommendation or prescription for use. Consult a medical professional before using any herb medicinally.

📚 Anise Grow Guide
",//www.seedsnow.com/cdn/shop/products/shutterstock_12118996_600x_ba96ad7e-ecf7-4675-934a-4a853d32562a.jpg?v=1681055476&width=300
Artichoke - Green Globe,"
The Green Globe Artichoke produces a large, delicious green flower bud that opens into a purple thistle if left to flower. Choose a sunny spot in your garden with lots of room for this plant to grow. Artichokes are perennial plants that keep coming back bigger and more productive every year. For a dramatic difference in color, try growing the Violet Star Artichoke.


Drought tolerant
Heat tolerant
Usually produces in 2nd year
Perennial
 Shop Good Companion Plants for Artichokes	📚 Grow Guide: Artichoke",//www.seedsnow.com/cdn/shop/products/shutterstock_127312439_1200x_f5f5a82c-42fc-4bb4-a9e1-ec0c3bf305cc.jpg?v=1680952916&width=300
Artichoke - Violet Star,"The Violet Star Artichoke is a dramatic alternative to the traditional Green Globe Artichoke. It produces a vibrant purple flower bud with a nutty flavor and creamy texture. Choose a sunny spot in your garden with lots of room for this dark beauty to grow. Artichokes are perennial plants that keep coming back bigger and more productive every year.


Heat tolerant
Drought tolerant
Usually produces in 2nd year
Perennial
 Good Companion Plants for Artichokes	📚 Artichoke Grow Guide",//www.seedsnow.com/cdn/shop/products/violet_star.png?v=1580116986&width=300
Arugula - Roquette (Rocket),"Roquette Arugula (also called Rocket) is one of the easiest leafy greens you can grow, and can be harvested as early as 20 days after planting. The young seed pods, flowers, leaves, and mature seeds are all edible. A member of the mustard family, the leaves of the Arugula plant add a deliciously tangy/peppery flavor to any meal.

Easy to grow
Entire plant is edible
Frost tolerant
Quick to mature — 20 days for baby greens!

Shop all Arugula Seeds	Shop Good Companion Plants for Arugula	  📚 Grow Guide: Arugula",//www.seedsnow.com/cdn/shop/products/shutterstock_168186302_500x_c76017b9-7b73-4d28-bfbf-86ec2f670a28.jpg?v=1680952977&width=300
Asparagus (Crowns/Roots) - Jersey Knight (Organic),"Organic/F1 Hybrid

The top name in Jersey male asparagus. Phenomenal yields, excellent quality and disease resistant. Dark green spears with purple bracts. Shoot tips hold tighter than other varieties allowing for an extended harvest period.

⚠️ These crowns are 2-year-old bare roots that are all male, which means possibly higher (3-4 times) yields.

CROWN PLANTING TIPS

Botanical name: Asparagus officinalis
Depth to plant crowns: 6""-8"" deep
Spacing between plants: 14""-18"" apart
Spacing between rows: 4'-5' apart
Preferred temps: When daytime temps exceed 75F–85F
Soil needs: 6.0-7.0 pH
Sun needs: Full sun, partial shade
Frost hardy: No
Planting season: Spring, fall
# of plants per sq. ft.: Appx. 1 plant per sq. ft.
Days to maturity: 730 days

ADDITIONAL PLANT INFORMATION

Health Benefits of Asparagus
Asparagus contains high levels of beta carotene and other vitamins and minerals, and is a great diuretic. Need more fiber? Chew on some asparagus. And if you're looking for help controlling diabetes or preventing kidney stones, plant and eat more asparagus.

Ways to Eat Asparagus
Asparagus is delicious raw or marinated in a little olive oil, lemon juice, and salt. You can also boil, steam, grill, roast, or sauté the spears. Add some asparagus to your other favorite foods such as soups, risottos, lasagnas, and quiches. To preserve your harvest, can up a few jars of pickled asparagus.

• Shop all Asparagus (seeds)
• Shop all Asparagus (roots)
	Shop Good Companion Plants for Asparagus	📚 Grow Guide: Asparagus Roots",No image available
Asparagus (Crowns/Roots) - Millennium,"F1 Hybrid

Asparagus plants are perennials that can easily produce for 20+ years, so give this vegetable a permanent and sunny spot in your garden. To ensure many years of future production, wait until the second year to cut and consume the spears.

⚠️ These crowns are 2-year-old bare roots that are all male, which means possibly higher (3-4 times) yields. The Millennium Asparagus is an F1 hybrid variety developed in Canada.

Cold hardy, but protect from frost

Easy to care for, once established
Beautiful fern-like foliage lingers after harvest
Best adapted to heavier soils


CROWN PLANTING TIPS

Botanical name: Asparagus officinalis

Depth to plant crowns: 6""-8"" deep
Spacing between plants: 14""-18"" apart
Spacing between rows: 4'-5' apart
Preferred temps: When daytime temps exceed 75F–85F
Soil needs: 6.0-7.0 pH
Sun needs: Full sun, partial shade
Frost hardy: No
Planting season: Spring, fall
# of plants per sq. ft.: Appx. 1 plant per sq. ft.
Days to maturity: 730 days

ADDITIONAL PLANT INFORMATION

Health Benefits of Asparagus
Asparagus contains high levels of beta carotene and other vitamins and minerals, and is a great diuretic. Need more fiber? Chew on some asparagus. And if you're looking for help controlling diabetes or preventing kidney stones, plant and eat more asparagus.

Ways to Eat Asparagus
Asparagus is delicious raw or marinated in a little olive oil, lemon juice, and salt. You can also boil, steam, grill, roast, or sauté the spears. Add some asparagus to your other favorite foods such as soups, risottos, lasagnas, and quiches. To preserve your harvest, can up a few jars of pickled asparagus.

• Shop all Asparagus (seeds)
• Shop all Asparagus (roots)
	Shop Good Companion Plants for Asparagus	📚 Grow Guide: Asparagus Roots",No image available
Asparagus (Crowns/Roots) - Purple Passion,"F1 Hybrid

Some say Purple Passion Asparagus is the best variety. This variety produces beautiful dark purple spears that are sweeter than standard green varieties. Asparagus plants are perennials that can easily produce for 20+ years, so give this vegetable a permanent and sunny spot in your garden. To ensure many years of future production, wait until the second year to cut and consume the spears.

⚠️ These crowns are 2-year-old bare roots that are all male, which means possibly higher (3-4 times) yields. 

Vigorous grower
Sweet and tender
Heat tolerant
Cold hardy, but protect from frost

CROWN PLANTING TIPS

Botanical name: Asparagus officinalis
Depth to plant crowns: 6""-8"" deep
Spacing between plants: 14""-18"" apart
Spacing between rows: 4'-5' apart
Preferred temps: When daytime temps exceed 75F–85F
Soil needs: 6.0-7.0 pH
Sun needs: Full sun, partial shade
Frost hardy: No
Planting season: Spring, fall
# of plants per sq. ft.: Appx. 1 plant per sq. ft.
Days to maturity: 730 days

ADDITIONAL PLANT INFORMATION

Health Benefits of Asparagus
Asparagus contains high levels of beta carotene and other vitamins and minerals, and is a great diuretic. Need more fiber? Chew on some asparagus. And if you're looking for help controlling diabetes or preventing kidney stones, plant and eat more asparagus.

Ways to Eat Asparagus
Asparagus is delicious raw or marinated in a little olive oil, lemon juice, and salt. You can also boil, steam, grill, roast, or sauté the spears. Add some asparagus to your other favorite foods such as soups, risottos, lasagnas, and quiches. To preserve your harvest, can up a few jars of pickled asparagus.

• Shop all Asparagus (seeds)
• Shop all Asparagus (roots)
	Shop Good Companion Plants for Asparagus	📚 Grow Guide: Asparagus Roots",No image available
