Name,Description,Image URL
"Amaranth, Green Callaloo (Amaranthus ""Green Callaloo"") - 250 Seeds","Amaranth, Green Callaloo (Amaranthus ""Green Callaloo"") - 250 Seeds

• Heirloom
• Non-GMO
• American Grown Seeds
• Annual
• USDA Zone: 2-11

Get ready for a culinary adventure with the Green Callaloo Amaranth (Amaranthus ""Green Callaloo""). This remarkable plant, popular in Caribbean cuisine, is packed with flavor and nutrition. It produces vibrant green leaves that are delicious steamed, stir-fried, or used in soups, adding a unique, spinach-like taste to your dishes. And here's the cherry on top—it's super quick to grow and extremely heat-tolerant. It's the perfect way to bring a taste of the tropics to your garden and your table.

GROWING INSTRUCTIONS:
Amaranth seeds in a location with full sun. Sow the seeds 1/4 inch deep and space the plants 10-12 inches apart, allowing for ample growth as they mature. Thin seedlings to proper spacing once they reach 2-3 inches in height. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Red Garnet Amaranth thrives in various soil types and conditions.",//southernseeds.com/cdn/shop/files/shopify_44_180x.png?v=1688857548 180w
"Artichoke, Green Globe (Cynara cardunculus) - 25 Seeds","Artichoke, Green Globe (Cynara cardunculus) - 25 Seeds

• Heirloom Vegetable
• Open Pollinated
• Non-GMO
• American Grown Seeds
• Perennial
• USDA Zone: 6-10

How about adding a little drama to your garden? Say hello to the Green Globe Artichoke (Cynara cardunculus). This majestic heirloom vegetable steals the show with its large, silvery-green foliage and globe-shaped buds that blossom into stunning purple flowers. And let's not forget the star of the show—the artichoke hearts. Tender, flavorful, and versatile in the kitchen, they're a culinary treat worth waiting for. A unique beauty that's as delicious as it is striking.

GROWING INSTRUCTIONS:
Plant Green Globe Artichoke seeds in a location with full sun. Sow the seeds 1/4 inch deep and space the plants 4-6 feet apart, allowing for ample growth as they mature. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Green Globe Artichoke prefers well-draining soil with a pH between 6.5 and 7.5.",//southernseeds.com/cdn/shop/products/artichoke-green-globe-cynara-cardunculus-var-scolymus-25-seeds-444749_180x.jpg?v=1663209954 180w
"Artichoke, Purple Romagna (Cynara scolymus) - 25 Seeds","Artichoke, Purple Romagna (Cynara scolymus) - 25 Seeds

• Heirloom
• Non-GMO
• Open Pollinated
• American Grown Seeds
• Perennial
• USDA Zone: 7-10

Purple Romagna Artichoke is a unique and flavorful heirloom variety known for its striking purple buds and tender hearts. This gourmet vegetable is prized for its culinary versatility, lending its unique flavor to a variety of dishes from salads and dips to pasta and pizzas. Not only delicious, artichokes are also a good source of vitamins, minerals, and antioxidants.

GROWING INSTRUCTIONS:
For best results, start Artichoke, Purple Romagna seeds indoors 8-10 weeks before the last frost date. Transplant the seedlings into the garden when they are at least 6 inches tall and the weather has warmed. Optimal germination temperature is 70-75°F. Artichokes are heavy feeders and will benefit from a light application of compost or fertilizer in early spring. Space the plants 24-36 inches apart in well-drained soil in a location that receives full sun. Water the plants regularly, especially during dry spells.",//southernseeds.com/cdn/shop/products/artichoke-purple-romagna-cynara-scolymus-25-seeds-978999_180x.jpg?v=1663209961 180w
Arugula (Eruca sativa) - 200 Seeds,"Arugula (Eruca sativa) - 200 Seeds

• Heirloom Herb
• Open Pollinated
• Non-GMO
• American Grown Seeds
• Annual
• USDA Zone: 3-11

Ready to add a spicy kick to your garden—and your salad bowl? Arugula (Eruca sativa) is the answer. This quick-growing, easy-to-tend heirloom herb brings a peppery, mustard-like flavor that elevates salads, pasta dishes, and sandwiches. But it doesn't stop at the plate. In the garden, its pretty, deeply-lobed leaves and small, white flowers make it an attractive addition. Spice up your garden and your meals with this delightful herb.

GROWING INSTRUCTIONS:
Plant Arugula seeds in a location with full sun to partial shade. Sow the seeds 1/4 inch deep and space the plants 6-12 inches apart, allowing for ample growth as they mature. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Arugula prefers well-draining soil with a pH between 6.0 and 6.8.

 ",//southernseeds.com/cdn/shop/products/arugula-eruca-sativa-200-seeds-955639_180x.jpg?v=1663209943 180w
"Arugula, Roquette (Eruca vesicaria sativa) - 200 Seeds","Arugula, Roquette (Rocket) (Eruca vesicaria sativa) - 200 Seeds

• Heirloom Herb
• Open Pollinated
• Non-GMO
• American Grown Seeds
• Annual
• USDA Zone: 3-11

Craving a zesty, peppery bite in your salads? Meet Arugula, Roquette (Rocket). This heirloom herb's fast-growing, dark green leaves pack a flavorful punch in salads, sandwiches, and even pestos. But that's not all. It's a real looker too, with its deeply lobed leaves and delicate white flowers. And the best part? It's super easy to grow. Perfect for beginner gardeners or anyone looking to spice up their garden—and their meals!

GROWING INSTRUCTIONS:
Plant Roquette Arugula seeds in a location with full sun to partial shade. Sow the seeds 1/4 inch deep and space the plants 6-12 inches apart, allowing for ample growth as they mature. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Roquette Arugula prefers well-draining soil with a pH between 6.0 and 6.8.",//southernseeds.com/cdn/shop/products/arugula-roquette-eruca-vesicaria-sativa-200-seeds-582964_180x.jpg?v=1663209964 180w
"Arugula, Wild (Diplotaxis tenuifolia) - 500 Seeds","Arugula, Wild (Diplotaxis tenuifolia) - 500 Seeds

• Heirloom Herb
• Open Pollinated
• Non-GMO
• American Grown Seeds
• Perennial
• USDA Zone: 4-8

Looking for a bold flavor to jazz up your dishes? Enter Wild Arugula (Diplotaxis tenuifolia). This isn't your average arugula—it's got a deeper, nuttier flavor and a touch more heat. Its narrow, serrated leaves bring a complex, peppery kick to salads, pasta, and even pizza. Bonus: it's a perennial! That means you get to enjoy its zesty leaves year after year. Add some wild flavor to your garden—and your plate—with this stand-out herb.

GROWING INSTRUCTIONS:
Plant Wild Arugula seeds in a location with full sun to partial shade. Sow the seeds 1/4 inch deep and space the plants 6-12 inches apart, allowing for ample growth as they mature. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Wild Arugula prefers well-draining soil with a pH between 6.0 and 6.8.

 ",//southernseeds.com/cdn/shop/products/arugula-wild-diplotaxis-tenuifolia-500-seeds-513695_180x.jpg?v=1663209943 180w
"Asparagus, Mary Washington (Asparagus officinalis) - 50 Seeds","Asparagus, Mary Washington (Asparagus officinalis) - 50 Seeds

• Heirloom
• Open Pollinated
• Non-GMO
• American Grown Seeds
• Perennial
• USDA Zone: 3-10

Get ready to up your gardening game with Asparagus, Mary Washington (Asparagus officinalis). This variety isn't just any asparagus—it's a garden superstar! Its tasty, tender spears are a gourmet delight, making springtime meals extra special. And talk about hearty! This perennial veggie can produce for up to 20 years. With Mary Washington, you're not just planting a vegetable, you're investing in years of delicious, home-grown asparagus. Let's get growing!

GROWING INSTRUCTIONS:
Plant Asparagus seeds in a location with full sun and well-draining soil. Sow the seeds 1/2 inch deep and space the plants 12-18 inches apart, with rows spaced 3-4 feet apart. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Asparagus prefers a soil pH between 6.5 and 7.5.",//southernseeds.com/cdn/shop/products/asparagus-mary-washington-asparagus-officinalis-50-seeds-412423_180x.jpg?v=1663209960 180w
"Asparagus, UC157 F2 (Asparagus officinalis) - 50 Seeds","Asparagus, UC157 F2 (Asparagus officinalis) - 50 Seeds

• Hybrid 
• Open Pollinated
• Non-GMO
• American Grown Seeds
• Perennial
• USDA Zone: 3-10

Say hello to the Asparagus, UC157 F2 (Asparagus officinalis), a hardy perennial that will bring years of delicious harvests to your table. Known for its prolific yields and exceptionally sweet, tender spears, this asparagus variety is an absolute winner. It's not just about the taste, though. This asparagus is as robust as it is delicious, with a high tolerance to Fusarium wilt and rust. Get ready for a garden experience that's both satisfying and rewarding!

GROWING INSTRUCTIONS:
Plant Asparagus seeds in a location with full sun and well-draining soil. Sow the seeds 1/2 inch deep and space the plants 12-18 inches apart, with rows spaced 3-4 feet apart. Water moderately, ensuring the soil remains consistently moist but not waterlogged. Asparagus prefers a soil pH between 6.5 and 7.5.",//southernseeds.com/cdn/shop/products/asparagus-uc157-f2-asparagus-officinalis-50-seeds-946818_180x.jpg?v=1663209955 180w
"Asparagus, UC72 (Asparagus officinalis) - 50 Seeds","Asparagus, UC72 (Asparagus officinalis) - 50 Seeds

• Heirloom
• Non-GMO
• Open Pollinated
• American Grown Seeds
• Perennial
• USDA Zone: 4-9

UC72 Asparagus is an exceptional heirloom variety celebrated for its high yields of delicious and tender spears. This vigorous perennial is known for its exceptional disease resistance and ability to thrive in various climates. Its delicate flavor and nutritional value make it a favorite among home gardeners and chefs alike.

GROWING INSTRUCTIONS:
This variety of asparagus does well when sown directly, but it can be transplanted for areas with a later final frost. The first harvest will be between 2 and 3 years after planting the first seed, with the first harvest being smaller than most. However, this plant will continue to produce many years in the garden after these initial years. Add organic matter to well drained soil, and keep weeds out. Sow seeds 1” below the surface and expose them to full sun. To harvest, cut each spear just below the soil when they are 8-11” long. After harvest, cut plants down to 1” above the soil and mulch over for continual harvests in the next seasons.",//southernseeds.com/cdn/shop/products/asparagus-uc72-asparagus-officinalis-50-seeds-597798_180x.jpg?v=1663209965 180w
"Bean, Black Coco (Phaseolus vulgaris) - 30 Seeds","Bean, Black Coco (Phaseolus vulgaris) - 30 Seeds

• Bush Bean
• Heirloom
• Non-GMO
• Open Pollinated
• American Grown Seeds
• Annual
• USDA Zone: 3-10

The Black Coco Bean, a popular and versatile heirloom variety, is a triple threat in the garden! Enjoy it as a young snap bean, shell it for a delicious side dish, or dry it for later use in soups, stews, and other hearty meals. Known for its distinctive black color and rich flavor, this bush bean, growing up to 2 feet tall, is easy to grow and produces an abundance of plump, shiny black seeds that are a joy to harvest.

GROWING INSTRUCTIONS:
Direct sow seeds outdoors after the danger of frost has passed and the soil has warmed up. Plant seeds 1-2 inches deep and 2-4 inches apart in rows spaced about 2-3 feet apart. Keep the soil consistently moist, especially during germination and pod development. Black Coco beans are relatively drought-tolerant once established and can be harvested as snap beans in about 60 days, shell beans in 70 days, or dry beans in 90 days.",//southernseeds.com/cdn/shop/products/bean-black-coco-phaseolus-vulgaris-30-seeds-329062_180x.jpg?v=1663210011 180w
